stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
1,,вул. Наукова,49.805315,23.982380,1,0,,0
4,,вул. Щирецька,49.809358,23.982811,4,0,,0
5,,вул. Щирецька,49.809631,23.982508,5,0,,0
6,,Скнилівок,49.813249,23.984865,6,0,,0
7,,Скнилівок,49.813576,23.984716,7,0,,0
8,,Кульпарків,49.819345,23.987819,8,0,,0
9,,Кульпарків,49.818543,23.987785,9,0,,0
10,,вул. Антоновича,49.825558,23.990446,10,0,,0
11,,вул. Максима Залізняка,49.829853,23.998148,11,0,,0
12,,вул. Степана Бандери,49.834480,24.006872,12,0,,0
14,,вул. Устияновича,49.836353,24.015867,14,0,,0
15,,Університет ім. Івана Франка,49.839794,24.022354,15,0,,0
16,,вул. Степана Бандери,49.835619,24.005826,16,0,,0
17,,пл. Липнева,49.833405,24.001316,17,0,,0
18,,вул. Смаль-Стоцького,49.830633,23.995478,18,0,,0
19,,вул. Копистинського,49.829167,23.992228,19,0,,0
360,,Автовокзал,49.787581,24.014610,360,0,,0
361,,Автовокзал,49.787323,24.017054,361,0,,0
362,,вул. Михайла Максимовича,49.791456,24.015457,362,0,,0
363,,вул. Михайла Максимовича,49.792500,24.016159,363,0,,0
364,,вул. Скорини,49.797995,24.017359,364,0,,0
365,,вул. Скорини,49.797798,24.016798,365,0,,0
366,,вул. Стрийська - вул. Наукова,49.801411,24.017574,366,0,,0
367,,вул. Стрийська - вул. Хуторівка,49.802592,24.018371,367,0,,0
368,,вул. Івана Рубчака,49.805296,24.018210,368,0,,0
369,,вул. Івана Рубчака,49.805502,24.017763,369,0,,0
370,,вул. Тролейбусна,49.807373,24.007542,370,0,,0
371,,вул. Тролейбусна,49.807940,24.007459,371,0,,0
372,,вул. Володимира Великого,49.810440,24.001222,372,0,,0
373,,"Універмаг ""Океан""",49.810513,23.998134,373,0,,0
374,,"Універмаг ""Океан""",49.810870,23.996756,374,0,,0
375,,вул. Василя Симоненка,49.811158,23.991672,375,0,,0
376,,вул. Василя Симоненка,49.811497,23.990290,376,0,,0
377,,вул. Кульпарківська,49.812354,23.982133,377,0,,0
378,,вул. Кульпарківська,49.812101,23.982125,378,0,,0
379,,вул. Кульчицької,49.816687,23.972498,379,0,,0
380,,вул. Кульчицької,49.817348,23.971472,380,0,,0
381,,вул. Любінська,49.820015,23.969395,381,0,,0
382,,вул. Любінська,49.819630,23.970020,382,0,,0
384,,вул. Кричевського,49.822841,23.965338,384,0,,0
385,,вул. Кричевського,49.822563,23.965690,385,0,,0
386,,"завод ""Лорта""",49.824051,23.955696,386,0,,0
387,,"завод ""Лорта""",49.824303,23.956087,387,0,,0
388,,вул. Ряшівська,49.826971,23.954443,388,0,,0
389,,вул. Ряшівська,49.826837,23.955013,389,0,,0
571,,вул. Володимира Великого,49.809971,24.004592,571,0,,0
572,,Автобусний завод,49.808476,24.019371,572,0,,0
573,,Автобусний завод,49.807844,24.018989,573,0,,0
574,,Податкова,49.815135,24.020077,574,0,,0
575,,Податкова,49.814955,24.019663,575,0,,0
576,,Дитяча залізниця,49.820244,24.020444,576,0,,0
577,,Дитяча залізниця,49.820536,24.020205,577,0,,0
578,,Парк Культури,49.824141,24.020609,578,0,,0
579,,Парк Культури,49.825161,24.022980,579,0,,0
580,,Стрийський ринок,49.829432,24.032263,580,0,,0
581,,Стрийський ринок,49.829826,24.032480,581,0,,0
582,,вул. Шота Руставелі,49.833832,24.035483,582,0,,0
583,,вул. Шота Руставелі,49.834093,24.035321,583,0,,0
584,,вул. Шота Руставелі,49.834150,24.035773,584,0,,0
815,,станція Скнилів,49.822090,23.936327,815,0,,0
816,,вул. Авіаційна,49.824783,23.939415,816,0,,0
817,,Церква Воскресіння Господнього,49.826851,23.946518,817,0,,0
818,,Церква Воскресіння Господнього,49.827030,23.949112,818,0,,0
819,,вул. Вільхова,49.828777,23.957287,819,0,,0
820,,вул. Вільхова,49.828773,23.958370,820,0,,0
821,,вул. Патона,49.823220,23.960577,821,0,,0
822,,вул. Патона,49.822972,23.961421,822,0,,0
823,,вул. Вівсяна,49.829819,23.962954,823,0,,0
824,,вул. Вівсяна,49.829870,23.964616,824,0,,0
